Artist,Title,Year
The Beatles,With A Little Help From My Friends,1967
The Beatles,Octopus's Garden,1969
The Rolling Stones,Waiting On A Friend,1981
Queen,You're My Best Friend,1975
Lyle Lovett & Randy Newman,You've Got A Friend In Me,1995
James Taylor,You've Got A Friend,1971
The Doors,Five To One,1968
Bob Marley & The Wailers,Is This Love,1978
Massive Attack,Teardrop,1998
Bruce Hornsby,Circus On The Moon,2004
Bruce Hornsby,Gonna Be Some Changes Made,2004
Coldplay,A Sky Full of Stars,2014
Richard Thompson,The Wrong Heartbeat,1983
Blood Sweat & Tears,Sometimes In Winter,1969
Grey Eye Glances,Better Part of Me,1998
Rachael Yamagata,Worn Me Down,2003
Redbone,Come And Get Your Love,1973
Boz Scaggs,Loan Me A Dime,1969
ZZ Top,I Thank You,1979
John Hiatt,Thank You Girl,1987
Keane,Somewhere Only We Know,2004
The Black Crowes,Soul Singing,2001
Adele,Right As Rain,2008
Sarah McLachlan,Possession,1993
The Supremes,I Hear A Symphony,1965
Two Door Cinema Club,What You Know,2010
The Head And The Heart,Shake,2013
Blondie,Dreaming,1979
The Flaming Lips,Race For The Prize,1999
Love,Everybody's Gotta Live,1974
Queen,I Want to Break Free,1984
Robert Ellis,Couples Skate,2016
Steely Dan,Reelin' In The Years,1972
Hum,Stars,1995
David Gray,Real Love,2002
Laura Nyro,Save The Country,1969
Spoon,Written In Reverse,2010
The Who,I Can See For Miles,1967
Led Zeppelin,No Quarter,1973
The Killers,Somebody Told Me,2004
The Bird And The Bee,Again & Again,2006
Edwyn Collins,A Girl Like You,1995
Eric Clapton,I Shot The Sheriff,1974
Jesus Jones,"Right Here, Right Now",1990
Sting,If You Love Somebody,1985
Ten Years After,I'd Love To Change The World,1971
Peter Tosh,No Sympathy,1976
Cheap Trick,I Want You To Want Me,1977
The Afghan Whigs,Gentleman,2007
Mocean Worker,Shake Ya Boogie,2007
Arcade Fire,Modern Man,2001
Local Natives,Sun Hands,2009
The Police,One World,1981
Rod Stewart,Gasoline Alley,1970
Jackson Browne,Doctor My Eyes,1972
Fleetwood Mac,Never Going Back Again,1977
Creedence Clearwater Revival,Travelin' Band,1970
Joe Walsh,Life's Been Good,1978
The Spinners,One Of A Kind (love Affair),1973
New York City,I'm Doin' Fine Now,1973
The Main Ingredient,Everybody Plays The Fool,1972
David Bromberg,Sharon,1972
Grand Funk Railroad,Some Kind Of Wonderful,1974
Abba,S.O.S.,1975
Argent,God Gave Rock And Roll To You,1974
Robin Trower,Too Rolling Stoned,1974
Brian Eno,King's Lead Hat,1977
The Cars,All Mixed Up,1978
Steely Dan,I Got The News,1977
Can,One More Night,1972
The Stooges,Dirt,1970
Richard Hell & The Voidoids,Betrayal Takes Two,1977
The Jam,Going Underground,1980
The Saints,Know Your Product,1978
The Saints,(I'm) Stranded,1976
David Bowie,TVC15,1976
Billy Cobham,Stratus,1973
Ron Wood,Seven Days,1979
The Pretenders,The Wait,1979
Squeeze,Up The Junction,1984
Blondie,Picture This,1978
Elvis Costello,Lipstick Vogue,1978
Bruce Springsteen,Spirit In The Night,1973
Bruce Springsteen,Night,1973
Sugarhill Gang,Rapper's Delight,1990
Iggy Pop,China Girl,1977
Neil Young,Alabama,1972
Graham Nash,Prison Song,1973
Stephen Stills,Go Back Home,1970
David Crosby,Traction In The Rain,1971
Bob Welch,Ebony Eyes,1977
Elton John,Burn Down The Mission,1970
Janis Ian,Tea & Sympathy,1975
Tim Hardin,Reason To Believe,1966
Citizen Cope,Healing Hands,2010
Cat Stevens,On The Road To Findout,1970
Todd Rundgren,Time Heals,1981
Van Morrison,The Healing Game,1992
Simon & Garfunkel,Homeward Bound,1966
The Waitresses,Christmas Wrapping,1981
Bruce Springsteen,Santa Claus Is Coming To Town,1981
Edgar Meyer & Chris Thile,Ham  and  Cheese,2008
Arlo Guthrie,Alice's Restaurant,1967
Anne Hills,Follow That Road,1994
Fairport Convention,Now Be Thankful,1972
Buddy Mondlock,I Count You My Friend,2007
The Ellis Marsalis  Trio,Friendships,1998
Booker T.  & the MG's,Comin' Home Baby,1962
Harvey Reid,Gathering the Harvest,1986
Angels of Venice,After the Harvest,1998
Traffic,John Barleycorn Must Die,1970
Bill Dutcher,THe Long Walk Home,2006
Norah Jones,The Long Way Home,2004
Lila Nelson,Thanksgiving,2008
Cheryl Wheeler,Driving Home,1993
Lore Constantine,Thank You,2008
Jorma Kaukonen,A Walk with Friends,2009
Allen Toussaint,American Tune,2007
Chinmaya Dunster  and the Celtic Ragas Band,A Meeting Place of Friends,2003
Adrian Legg,Old Friends,2003
Priscilla Ahn,Find My Way Back Home,2008
Shelby Lynne,Home  Sweet Home,2010
Kings of Convenience,Homesick,2004
Mark Knopfler,Sailing to Philadelphia,2000
Ryan Adams,Come Home,2011
Norah Jones,Travelin' On,2012
Regina Carter,I'm Going Home,2014
Mary Chapin Carpenter,Grand Central Station,2004
Lori Carson,Beautiful World,2012
Bert Jansch,Morning Brings Peace of Mind,1995
Silent Rider,Peace of Mind,2012
Lyle Lovett,Step Inside this House,1998
Jackson Browne,For A Dancer,1974
Jack Johnson,Traffic in the Sky,2003
Joshua Radin,Friend Like You,2008
Andy Bey,You'd Be So Nice to Come Home To,1996
Lynne Arriale  Trio,Home,1997
Julia Fordham,Holiday,2008
David Nevue,Home,1999
Jane Siberry,The Taxi Ride,1985
"Peter, Paul and Mary",Leaving on a Jet Plane,1967
Emmylou Harris,Home Sweet Home,2011
Hans Theessink,Slow Train,2007
Francis Dunnery,Riding On The Back,1998
Elvis Costello,This Year's Girl,1978
The Pretenders,Human,1999
Quicksilver Messenger Service,Pride Of Man,1968
Janelle Monae,Dance Apocalyptic,2013
James Brown,Cold Sweat,1972
The Primitives,Crash,1986
Elle King,Ex's and Oh's,2014
Meg Mac,Roll Up Your Sleeves,2014
Sparks,Perfume,2006
Cage The Elephant,Mess Around,2015
Psychedelic Furs,Pretty In Pink,1981
Alexi Murdoch,Orange Sky,2002
Eric Clapton,Blues Power,1970
Jamie xx,Obvs,2015
Dennis Wilson,Holy Man,2008
Vampire Weekend,White Sky,2010
Quilt,Tie Up The Tides,2014
Quilt,Hissing My Plea,2016
Hinds,Warts,2016
Hinds,Chili Town,2015
Father John Misty,Strange Encounter,2015
Father John Misty,Real Love Baby,2016
Belle & Sebastian,I Didn't See It Coming,2010
Belle & Sebastian,Le Pastie De La Bourgeoisie,1997
Cloud Nothings,Internal World,2017
The Radio Dept.,Heaven's On Fire,2010
Tame Impala,Mind Mischief,2012
Tame Impala,Disciples,2015
Miracle Legion,Little Drummer Boy,1996
Timbuk 3,All I Want For Christmas,1990
Tears For Fears,Pale Shelter,1983
Psychedelic Furs,President Gas,1982
Psychedelic Furs,We Love You,1979
Eurythmics,Winter Wonderland,1987
U2,Christmas (baby Please Come Home),1987
Dave Edmunds,Run Rudolph Run,1981
The Cure,Jumping Someone Else's Train,1979
XTC,Thanks For Christmas,1990
The Pogues,Fairytale Of New York,1987
Ryuichi Sakamoto,Merry Christmas Mr Lawrence,1983
Kate Bush,December Will Be Magic,1980
Red Rockers,China,1981
The Vapors,Turning Japanese,1980
Japan,Visions Of China,1981
X,The World's A Mess It's In My Kiss,1980
Blondie,Denis,1977
David Bowie & Bing Crosby,Peace On Earth,1977
REM,Deck The Halls,2009
The Replacements,Waitress In The Sky,1985
Throwing Muses,Santa Claus,1989
Cyndi Lauper,Christmas Conga,1998
Berlin,The Metro,1981
Martha & The Muffins,Echo Beach,1980
Simple Minds,I Travel,1980
Echo And The Bunnymen,All My Colours,1981
Men Without Hats,Antarctica,1983
Our Daughters Wedding,Lawnchairs,1980
They Might Be Giants,Feast Of Lights,2001
Captain Sensible,One Christmas Catalogue,1996
Joan Jett And The Blackhearts,Crimson & Clover,1981
The Pretenders,2000 Miles,1984
Alan Vega,No More Christmas Blues,2004
The Smiths,Shoplifters Of The World Unite,1987
The Sisters Of Mercy,ALICE,1982
Squeeze,Christmas Day,1990
Romeo Void,A Girl in Trouble (Is a Temporary Thing),1984
Altered Images,I Could Be Happy,1981
The Buzzcocks,Everybody's Happy Nowadays,1992
The Jam,Beat Surrender,1982
The Selecter,Too Much Pressure,1979
Wall Of Voodoo,Shouldn't Have Given Him A Gun For Christmas,1990
The Dickies,Silent Night,1978
Third World,Try Jah Love,1982
Liquid Soul,Threadin' The Needle,1998
Mavis Staples,Can You Get to That,2013
Daft Punk,Da Funk,1995
Kid Creole & The Coconuts,Stool Pigeon,1982
Gorillaz,Clint Eastwood,2001
Stereo MC's,Connected,1992
Lee Dorsey,Night People,1978
Mongo Santamaria,Watermelon Man,1971
War,Cisco Kid,1972
Average White Band,Work To Do,1974
Blind Boys Of Alabama,Higher Ground,2002
Clarence Carter,Slip Away,1968
Donny Hathaway,What's Going On?,1990
Michael Jackson,Don't Stop 'til You Get Enough,1979
Brothers Johnson,Ain't We Funkin' Now,1978
Chambers Brothers,Funky,1971
The Spinners,The Rubberband Man,1976
John Holt,For The Love Of You,1976
The Isley Brothers,For The Love Of You,1975
Pieces Of A Dream,Mt. Airy Groove,1982
Rick James,Give It To Me Baby,1981
Status Quo,Pictures Of Matchstick Men,1968
Nathaniel Rateliff & The Night Sweats,Look It Here,2013
Raul Malo,Every Little Thing About You,2001
Los Lobos,Hurry Tomorrow,2004
Steve Earle,Everyone's In Love With You,2000
Dead Or Alive,You Spin Me Round,1992
Hot Tuna,Keep On Truckin',1972
Hot Tuna,Water Song,1972
The Who,Going Mobile,1971
Shawn Colvin,Tenderness On The Block,1992
The Districts,Rocking Chair,2014
Amos Lee,Chill in the Air,2013
Band Of Horses,In A Drawer,2016
Santana,Waiting,1969
Courtney Barnett,History Eraser,2012
Tom Petty,Free Girl Now,1999
The Partridge Family,I Think I Love You,1970
The Brady Bunch,It's a Sunshine Day,1972
Crosby Stills & Nash,Our House,1970
Paul Simon,Father And Daughter,2002
Cat Stevens,Father & Son,1970
The Hollies,He Ain't Heavy He's My Brother,1990
Sister Sledge,We Are Family,1979
Jackson 5,Abc,1983
The Beach Boys,Good Vibrations,1970
Three Dog Night,Mama Told Me (Not To Come),1970
The Temptations,Papa Was A Rolling Stone,1972
Andra Day,Only Love,2015
Gillian Welch,Pass You By (Alternate Version),2016
The Band,The Last Waltz Suite,1978
Louis Prima,Just a Gigolo/I Ain't Got Nobody (Medley),2010
Robert Cray,Smoking Gun,1988
The Sounds,Tony the Beat,2006
Prince,Little Red Corvette,1982
Bonnie Raitt,Love Me Like A Man,1972
Bright Eyes,Shell Games,2011
John Mayer,Daughters,2003
Langhorne Slim,Rebel Side Of Heaven,2008
Dinosaur Jr,Start Choppin',1992
The Spinners,Games People Play,1975
Susan Tedeschi,Alone,1998
Bob Dylan,Positively 4th Street,1967
Oasis,Champagne Supernova,1995
Neil Diamond,"Cherry, Cherry",1966
Nirvana,Heart-Shaped Box,1993
Dave Alvin,King Of California,1994
Cracker,Teen Angst (What The World Needs Now),1992
Paul Westerberg,First Glimmer,1993
The Kinks,Everybody's Gonna Be Happy,1984
Xiu Xiu,Laura Palmer's Theme,2016
Mose Allison,"Some Right, Some Wrong",2010
Robert Johnson,I'm A Steady Rollin' Man,1970
Robert Johnson,Ramblin' On My Mind,1961
Furry Lewis,Billy Lyons And Stack O'Lee,1927
Muddy Waters,I'm Ready,1958
Luther Allison,All The King's Horses,1995
Slim Harpo,Strange Love,1989
R. L. Burnside,Bad Luck City,1992
Bessie Smith,Back Water Blues,1927
Albert King,The Hunter,1967
JJ Thames,Bad Man,2016
Fenton Robinson,Somebody Loan Me A Dime,1990
Little Milton,If You Talk In Your Sleep,1994
Albert Collins,A Good Fool Is Hard To Find,1986
Blind Lemon Jefferson,Dry Southern Blues,1926
Robert Johnson,Love In Vain Blues,1938
Bo Diddley,Before You Accuse Me,1957
B. B. King,When It All Comes Down (I'll Still Be Around),1978
H-Bomb Ferguson,"Love Her, Don't Shove Her",1993
Joe Louis Walker,Rollin' & Tumblin',2008
Robert Johnson,If I Had Possession Over Judgment Day,1961
Robert Johnson,Phonograph Blues,1970
Lene Lovich,Lucky Number,1978
Rod Stewart,Every Picture Tells A Story,1971
Kings Of Leon,On Call,2007
Prince,1999,1982
G Love & Special Sauce,I-76,1997
The Spinners,Could It Be I'm Falling In Love,1991
Red Hot Chili Peppers,Dani California,2006
The Band,Life Is A Carnival,1970
Ryan Adams,Answering Bell,2001
Bonnie Raitt,I Know,1972
Gary Clark Jr.,Bright Lights,2010
The Rolling Stones,Ain't Too Proud To Beg,1974
Spoon,Anything You Want,2001
Electric Light Orchestra,Strange Magic,1975
Talking Heads,(Nothing But) Flowers,1988
The Righteous Brothers,(You're My) Soul and Inspiration,1987
Radiohead,15 Step,2007
Ray Charles,Busted,1963
The Temptations,(I Know) I'm Losing You,1966
Steely Dan,Black Cow,1977
The Velvet Underground,Pale Blue Eyes,1969
Bruce Springsteen,Jungleland,1975
Robert Palmer,Work To Make It Work,1975
Johnny Cash,Hurt,1978
U2,"Stay (faraway, So Close)",1993
Hall & Oates,All You Want Is Heaven,1979
Sharon Jones And The Dap-Kings,"Pick It up, Lay It in the Cut",2002
Fleet Foxes,He Doesn't Know Why,2008
Dawes,One Of Us,2016
The Rolling Stones,Dance Little Sister,1974
The Clash,Hitsville U.k.,1980
Jesse Colin Young,Ridgetop,1973
Little Richard,Tutti Frutti,1967
Ray Lamontagne,Be Here Now,2006
Foals,What Went Down,2015
Spacemen 3,Walkin' with Jesus,1986
World Party,What Is Love All About,1993
Elvis Costello,Blame It On Cain,1977
Stevie Wonder,Ribbon In The Sky,1982
Hot Tuna,Ain't Got No Home,1993
Sandy Denny,Late November,1971
The Refugees,Save The Best For Last,2008
Mary Chapin Carpenter,Thanksgiving Song,2008
Richard Shindell,On A Sea Of Fleur De Lis,1992
Yo La Tengo,I Feel Like Going Home,2006
Everything But The Girl,Come On Home,1986
Bill Horist & Sam Mickens,Things Behind The Sun,2004
Nick Drake,Time Of No Reply,1986
Donovan,Colours,1965
Alisa Weilerstein,"Silent Woods, op. 68 no. 5",2014
Lucy Wainwright Roche,A Quiet Line,2013
Neil Young,Harvest Moon,1992
The 6ths,Waltzing Me All The Way Home,1999
Dan Auerbach,Goin' Home,2009
Bill Douglas,Deep Peace,1988
Pieta Brown,Song For A Friend,2007
David Sylvian,The Healing Place,1986
Leonard Cohen,The Stranger Song,1967
Over The Rhine,Called Home,2013
Nick Drake,Time Has Told Me,1969
The Amigos,More Than Friends,2014
Robin Huw Bowen,Sailing Home,1999
Boulder Acoustic Society,Now is the Hour,2007
Branford Marsalis,Stardust,2014
Indigo Girls,Everything in its Own Time,1997
The Band,Such A Night,1978
Santo & Johnny,Sleepwalk,1962
Tom Petty & The Heartbreakers,No Second Thoughts,1978
The Allman Brothers,Just Ain't Easy,1979
Nick Drake,Been Smoking Too Long,1986
Phil Harris,Smoke! Smoke! Smoke! (That Cigarette),2010
Dramarama,Last Cigarette,1989
Liquid Liquid,Cavern,1983
Nick Cave & The Bad Seeds,"There She Goes, My Beautiful World",2004
The Dream Syndicate,Tell Me When It's Over,1982
B-52's,53 Miles West Of Venus,1980
The Clash,The Call Up,1980
The Monkees,Listen To The Band,1969
Paul McCartney & Wings,Band On The Run,1973
Bell X1,A Better Band,2009
Three Dog Night,One Man Band,1970
Cake,I Will Survive,1996
Captain Beefheart,Abba Zaba,1967
Tommy James & The Shondells,Crimson & Clover,1968
The Electric Prunes,I Had Too Much To Dream (Last Night),1966
Public Image Ltd.,Rise,1985
Isaac Hayes,Never Can Say Goodbye,1971
Allen Toussaint,Night People,1978
Ben Harper & Charlie Musselwhite,I Don't Believe A Word You Say,2013
Slade,Mama Weer All Crazee Now,1972
Joan Jett And The Blackhearts,You're Too Possessive,1981
Iron Butterfly,In-a-gadda-da-vida,1970
Nas,Hip Hop Is Dead,2006
The Jam,In The City,1977
Nick Lowe,Heart Of The City,1976
Bronski Beat,Smalltown Boy,1984
Rick Danko,Small Town Talk,1977
John Coltrane,Psalm,1965
John Coltrane,Acknowledgement,1965
Dum Dum Girls,Always Looking,2011
The Verve,The Rolling People,1997
Queens Of The Stone Age,Make It Wit Chu,2005
Rachid Taha,Rock El Casbah,2004
The Jolly Boys,Rehab,2010
Lauryn Hill,"Every Ghetto, Every City",1998
XTC,Runaways,1982
Paleface,Trouble In The Country,1991
Opal,Northern Line,1989
West Indian Girl,Trip,2004
King Gizzard & The Lizard Wizard,Robot Stop,2016
Parquet Courts,Always Back In Town,2014
Speedy Ortiz,Raising The Skate,2015
Stereolab,Three Women,2008
Stereolab,The Noise Of Carpet,1996
Arcade Fire,We Exist,2013
Arcade Fire,Rebellion (Lies),2004
Tacocat,Crimson Wave,2014
Tacocat,"You Can't Fire Me, I Quit",2016
Talking Heads,Thank You For Sending Me An Angel,1978
Bonnie Raitt,I Thank You,1979
Brandon Heath,The Day After Thanksgiving,2013
Alix Olson,Eve's Mouth,2001
Holly Near,I Am Willing,2006
Sweet Honey in the Rock,On Children,1988
The Allman Brothers,Little Martha,1972
The Stray Birds,Sabrina,2016
Billy Bragg & Joe Henry,In The Pines,2016
Townes Van Zandt,Don't Take It Too Bad,1969
Woodstock Mountains,Barbed Wire,1977
Shel Silverstein,Bury Me In My Shades,2008
Dan Bern,Jerusalem,1997
Henry Thomas,Bull Doze Blues,1991
David Byrne,Don't Fence Me In,1990
Sharon Jones and the Dap-Kings,This Land is Your Land,2005
Charlie Parr,Jesus Is a Hobo,2013
Dave Alvin,Border Radio,1987
Fairport Convention,Flowers of the Forest,1970
Alison Krauss,Can't Find My Way Home,2003
Woods,Out Of The Eye,2011
The Rolling Stones,Midnight Rambler,1969
Edwin Starr,Twenty-Five Miles,1969
The Band,Chest Fever,1968
Lou Reed,Intro/ Sweet Jane,2012
Jackson Browne,The Pretender,1976
Tears For Fears,Break It Down Again,1993
Tom Petty & The Heartbreakers,Even The Losers,1979
Ryan Adams,Easy Plateau,2005
Jimi Hendrix,All Along The Watchtower,1971
Jimi Hendrix,Purple Haze,1984
Jimi Hendrix,Are You Experienced?,1967
The Cure,In Between Days,1985
Led Zeppelin,Communication Breakdown,1969
Oasis,Don't Look Back In Anger,1996
Faces,Stay With Me,1976
The Clash,This Is Radio Clash,1981
Horace Silver,Filthy McNasty,1994
Hiss Golden Messenger,Highland Grace,2016
The Staple Singers,"Swing Low, Sweet Chariot",1961
M. Ward,I'm Listening (Child's Theme),2016
Laura Gibson,The Search for Dark Lake,2016
The Velvet Underground,I'll Be Your Mirror,1966
Ultimate Painting,Set Me Free,2016
Jonathan Richman,These Bodies That Came to Cavort,2010
Dory Previn,Lover Lover Be My Cover,1974
Andrew Bird,Truth Lies Low,2016
John Zorn,Kisofim,1998
"Crosby, Stills & Nash",In My Dreams,1977
Glenn Jones,Close to the Ground,2016
Ryley Walker,The Great and Undecided,2016
Art Blakey,Pisces,1992
Frankie Reyes,Noche de Ronda,2016
Hope Sandoval & The Warm Inventions,The Hiking Song,2016
Richard & Linda Thompson,I'll Regret It All in the Morning,1975
Joan Shelley,Here and Whole,2016
Ryan Adams,Sweet Lil Gal (23rd/1st),2000
Patsy Cline,Lonely Street,1962
Gillian Welch,I Don't Want to Go Downtown (Revival Outtake),2016
Iron & Wine,Lovesong of the Buzzard,2007
Band of Horses,Even Still,2016
Neko Case,A Widow's Toast,2006
Brent Cobb,Shine On Rainy Day,2016
Tony Joe White,Copper Kettle (The Pale Moonlight),1971
Colvin & Earle,You're Still Gone,2016
Nat Adderley,Mean to Me,1960
Bibio,Saint Thomas,2016
Les Paul & Mary Ford,Whither Thou Goest,1990
Papa M,DLVD,2016
The Beatles,I Will,1968
Tony Bennett,The Shadow Of Your Smile,1976
Bob Dylan,Boots Of Spanish Leather,1964
Ryley Walker,4th Time Around,2016
Neko Case,Vengeance Is Sleeping,2009
Aimee Mann,Wise Up,1996
Neil Young,Tumbleweed,2014
Graham Nash,Golden Days,2016
David Crosby,The Us Below,2016
Diana Krall,Frim Fram Sauce,1993
Chris Smither,No Love Today,1999
Harry McClintock,Big Rock Candy Mountain,2000
The Milk Carton Kids,Years Gone By,2013
Simon & Garfunkel,Bridge Over Troubled Water (Demo),2001
Beatles,I Will,1968
John Denver,Back Home Again,1974
Van Morrison,Pagan Streams,1991
Brian Eno,Always Returning I,1993
Natalie Merchant,San Andreas Fault,1995
Norah Jones,Sleeping Wild,2016
Alex de Grassi,Mirage,1991
Robert Rich,Obscured by Leaf Shadows,2016
Edgar Froese,Maroubra Bay,1975
Forma,Wanderer Imitates a Cloud,2016
loscil,Monument Builders,2016
Spyra,Flur,2014
Steve Hauschildt,Same River Twice,2016
Dante Bucci,Fanfare,2008
DIANA,What You Get,2016
Cherry Glazerr,Nurse Ratched,2014
CRX,Slow Down,2016
AHI,Alive Again,2016
Soupy Sales,Santa Claus Is Surfin' To Town,2008
The Roches,Frosty The Snowman,1990
The Roches,Sleigh Ride,1990
Mark Knopfler,"Boom, Like That",2004
Golden Smog,Pecan Pie,1995
Bad Company,Gone Gone Gone,1979
Budgie,I Can't See My Feelings,1975
David Bowie,The Jean Genie,1980
Marvin Gaye,Trouble Man,1972
Todd Rundgren,Black Maria,1972
Josh Rouse,Afraid To Fail,2000
Renee & Jeremy,Sunny Christmas,2012
The Christmas Jug Band,Santa Lost A Ho,2002
Violent Femmes,Blister In The Sun,1982
Dan Zanes,Little Nut Tree,2011
Iron And Wine,Grace for Saints and Ramblers,2013
Roxy Music,More Than This,1982
Dave Matthews Band,Too Much,1997
The Band,Across The Great Divide,1969
Jimi Hendrix,Up From The Skies,1967
Stevie Wonder,Golden Lady,1973
Smokey Robinson & The Miracles,The Tracks Of My Tears,1968
Jackie Wilson,Lonely Teardrops,1959
Jackson 5,I'll Be There,1970
Marvin Gaye,I Heard It Through The Grapevine,1968
Hozier,Work Song,2014
Ray Lamontagne,Forever My Friend,2004
Neil Finn,She Will Have Her Way,1998
Mannheim Steamroller,Carol Of The Bells,1988
Tori Amos,Crucify,1992
XTC,Senses Working Overtime,1982
The Spencer Davis Group,I'm A Man,1967
Lenny Kravitz,Let Love Rule,1989
Radiohead,Let Down,1997
Medeski Martin & Wood,Sugar Craft,1998
Randy Newman,It's Lonely At The Top,2003
Sean Lennon,Dead Meat,2006
Snow Patrol,Crack The Shutters,2008
Todd Rundgren,Bang The Drum All Day,1982
Benny Goodman,Let's Dance,1954
TV On The Radio,Wolf Like Me,2001
Eurythmics,There Must Be An Angel (playing With My Heart),1985
Journey,Don't Stop Believin',1981
The Monkees,Daydream Believer,1967
Trombone Shorty,Hurricane Season,2010
The Hooters,I'm Alive,2007
Elliott Smith,Baby Britain,1998
Old 97's,King Of All The World,2001
Cracker,Get Off This,1993
Steely Dan,Hey Nineteen,1980
Shawn Colvin,Whole New You,2001
The Shins,It's Only Life,2012
The Moody Blues,The Story In Your Eyes,1971
Eric Matthews,Fanfare,1995
Haim,Don't Save Me,2012
Joni Mitchell,Don't Interrupt The Sorrow,1975
Luscious Jackson,Ladyfingers,1999
Sonia Dada,I Live Alone,1992
Van Morrison,Domino,1970
Chuck Prophet,Just To See You Smile,2004
The Ting Tings,Shut Up And Let Me Go,2008
John Lennon,(Just Like) Starting Over,1980
Daniel Lanois,The Maker,1989
Seatrain,13 Questions,1971
Talking Heads,Mr. Jones,1988
Temples,Shelter Song,2012
Coldplay,Viva La Vida,2008
Steely Dan,Do It Again,1972
Joan Osborne,One Of Us,1994
The Lumineers,Submarines,2009
Screaming Trees,Nearly Lost You,1992
Dave Edmunds,Slipping Away,1983
Los Lobos,Jenny's Got A Pony,1990
Devo,Secret Agent Man,1979
The Smiths,Heaven Knows I'm Miserable Now,1984
Vampire Weekend,Giving Up The Gun,2010
Death Cab For Cutie,You Are A Tourist,2011
Yann Tiersen,Roc'h ar Vugale,2016
Bruce Springsteen,Ramrod,1980
The Posies,Dream All Day,1993
Pharrell Williams,Happy,2013
Joseph Arthur,In The Sun,2000
Mick Jagger,Memo From Turner,1991
Danny Gatton,Funky Mama,1991
The Dove And The Wolf,Green and Yellow,2015
The Trashmen,Surfin' Bird,1985
Derek & The Dominos,Bell Bottom Blues,1970
Kris Kristofferson,Sunday Mornin' Comin' Down,1970
Warren Zevon,Carmelita,1976
The Moody Blues,Question,1970
Wire Train,Chamber Of Hellos,1983
Modern English,I Melt With You,1982
Pink Floyd,Run Like Hell,1979
Big Audio Dynamite,The Globe,1991
Steve Wynn & The Miracle 3,"Cindy, It Was Always You",2005
Wilson Pickett,I'm A Midnight Mover,1987
U2,Gloria,1981
Midnight Oil,Best Of Both Worlds,1984
Courtney Barnett,Avant Gardener,2013
Neil Young,Old Man,1972
Todd Rundgren,Can We Still Be Friends,1978
Old 97's,Every Night Is Friday Night (Without You)~,2010
Amos Lee,Give It Up,2004
Red Hot Chili Peppers,Give It Away,1991
Missing Persons,Give,1984
Jamie Cullum,All At Sea,2003
Trey Anastasio,Cayman Review~,2002
Warren Zevon,Poor Poor Pitiful Me,1976
Wet Willie,Keep On Smilin',1974
John Mayall,Room To Move,1969
Dawes,Things Happen,2015
George Harrison,My Sweet Lord,1970
George Harrison,What Is Life,1970
Metric,Gimme Sympathy,2009
Arcade Fire,Wake Up,2004
The Mar-Keys,Philly Dog,1966
Lyle Lovett,My Baby Don't Tolerate,2003
R. E. M.,Seven Chinese Brothers,2015
Jackson Browne,The Road And The Sky,1974
Soulive,Joyful Girl,2002
Bruce Springsteen,Secret Garden,1995
Otis Redding,Sittin' On The Dock Of The Bay,1984
Aretha Franklin,Think,1968
Doves,Black And White Town,2005
Supertramp,Goodbye Stranger,1979
Fine Young Cannibals,I'm Not The Man I Used To Be,1988
Roxy Music,Both Ends Burning,1975
Strawbs,Benedictus,1972
Cake,War Pigs,2007
Supergrass,Caught By The Fuzz,1994
Neville Brothers,Yellow Moon,1989
Bobby Long,Who Have You Been Loving,2011
Sonny & Cher,I Got You Babe,1965
Dave Mason,So High (Rock Me Baby And Roll Me Away),1977
Kim Richey,I'm Alright,1997
INXS,What You Need,1985
Peter Gabriel,Mercy Street,1986
Delta Rae,If I Loved You,2012
Joni Mitchell,My Old Man,1971
Spirit,Taurus,1968
Neutral Milk Hotel,Untitled,1996
